Name,Price,Link,Market Cap,Circulating Supply,Total Supply,Max Supply,All Time High Value,All Time High Date,All Time Low Value,All Time Low Date
OKB,$21.89,/currencies/okb/,"$1,309,901,623.94","60,000,000 OKB","300,000,000 OKB",No Data,No Data,"Jan 01, 2000",No Data,"Jan 01, 2000"
Basic Attention Token,$0.88,/currencies/basic-attention-token/,"$1,315,319,646.17","1,495,079,069 BAT","1,500,000,000 BAT","1,500,000,000 BAT",$1.92,"Nov 28, 2021",$0.06621,"Jul 16, 2017"
Chiliz,$0.22,/currencies/chiliz/,"$1,324,652,399.71","5,975,068,035 CHZ","8,888,888,888 CHZ","8,888,888,888 CHZ",$0.8915,"Mar 13, 2021",$0.004001,"Sep 27, 2019"
Loopring,$1.01,/currencies/loopring/,"$1,340,276,154.58","1,329,247,433 LRC","1,373,873,440 LRC","1,374,513,896 LRC",$3.83,"Nov 10, 2021",$0.01986,"Dec 18, 2019"
Curve DAO Token,$3.17,/currencies/curve-dao-token/,"$1,404,854,708.12","443,206,806 CRV","1,687,553,339 CRV","3,303,030,299 CRV",$60.50,"Aug 14, 2020",$0.3316,"Oct 25, 2020"
Kadena,$8.44,/currencies/kadena/,"$1,431,317,223.51","167,816,066 KDA","1,000,000,000 KDA","1,000,000,000 KDA",$28.25,"Nov 11, 2021",$0.1213,"Jan 11, 2021"
TrueUSD,$1.00,/currencies/trueusd/,"$1,477,517,905.32","1,477,731,617 TUSD","1,477,731,617 TUSD",No Data,$1.36,"May 16, 2018",$0.9179,"Mar 13, 2020"
THORChain,$4.49,/currencies/thorchain/,"$1,481,223,605.71","330,688,061 RUNE","334,937,975 RUNE","500,000,000 RUNE",$21.26,"May 19, 2021",$0.007939,"Sep 27, 2019"
Kusama,$178.21,/currencies/kusama/,"$1,504,452,239.18","8,470,098 KSM","9,651,217 KSM",No Data,$623.75,"May 18, 2021",$0.9158,"Jan 14, 2020"
Huobi Token,$10.00,/currencies/huobi-token/,"$1,567,838,745.61","156,741,729 HT","500,000,000 HT","500,000,000 HT",$39.81,"May 12, 2021",$0.8903,"Jan 30, 2019"
KuCoin Token,$20.28,/currencies/kucoin-token/,"$1,624,018,050.47","80,118,638 KCS","170,118,638 KCS","170,118,638 KCS",$28.80,"Dec 01, 2021",$0.3365,"Jan 31, 2019"
Neo,$23.44,/currencies/neo/,"$1,654,110,411.50","70,538,831 NEO","100,000,000 NEO","100,000,000 NEO",$196.85,"Jan 15, 2018",$0.07229,"Oct 21, 2016"
Zcash,$123.13,/currencies/zcash/,"$1,687,944,873.86","13,718,419 ZEC","13,718,419 ZEC","21,000,000 ZEC","$5,941.80","Oct 29, 2016",$18.94,"Mar 13, 2020"
Enjin Coin,$1.98,/currencies/enjin-coin/,"$1,692,370,453.78","854,696,206 ENJ","1,000,000,000 ENJ","1,000,000,000 ENJ",$4.85,"Nov 25, 2021",$0.01562,"Nov 02, 2017"
Quant,$141.33,/currencies/quant/,"$1,706,416,469.74","12,072,738 QNT","14,612,493 QNT","14,612,493 QNT",$428.38,"Sep 11, 2021",$0.1636,"Aug 23, 2018"
eCash,$0.00009035,/currencies/ecash/,"$1,714,402,390.54","18,975,904,673,313 XEC","18,899,704,673,313 XEC","21,000,000,000,000 XEC",$0.005112,"Nov 10, 2021",$0.0000173,"Jul 20, 2021"
Livepeer,$33.53,/currencies/livepeer/,"$709,644,519.02","21,164,655 LPT","22,859,012 LPT","22,906,951 LPT",$100.24,"Nov 09, 2021",$0.4206,"Mar 13, 2020"
Audius,$1.19,/currencies/audius/,"$727,730,964.92","608,321,992 AUDIO","1,078,933,974 AUDIO",No Data,$4.99,"Mar 27, 2021",$0.07774,"Nov 03, 2020"
Ravencoin,$0.07,/currencies/ravencoin/,"$739,647,370.83","10,473,290,000 RVN","10,473,290,000 RVN","21,000,000,000 RVN",$0.2854,"Feb 20, 2021",$0.008794,"Mar 13, 2020"
XDC Network,$0.06,/currencies/xinfin/,"$775,661,476.12","12,305,012,699 XDC","37,705,012,699 XDC",No Data,$0.1939,"Aug 21, 2021",$0.0001571,"Jun 20, 2019"
Celsius,$3.39,/currencies/celsius/,"$809,558,978.13","238,863,520 CEL","695,658,160 CEL","695,658,160 CEL",$8.02,"Jun 03, 2021",$0.02235,"Oct 16, 2018"
1inch Network,$1.77,/currencies/1inch/,"$829,627,731.05","468,181,744 1INCH","1,500,000,000 1INCH",No Data,$7.87,"May 08, 2021",$0.7612,"Dec 29, 2020"
Compound,$132.77,/currencies/compound/,"$871,092,818.75","6,558,637 COMP","10,000,000 COMP","10,000,000 COMP",$911.20,"May 12, 2021",$61.27,"Jun 18, 2020"
yearn.finance,$24447.40,/currencies/yearn-finance/,"$895,988,068.01","36,638 YFI","36,666 YFI","36,666 YFI","$93,435.53","May 12, 2021",$739.44,"Jul 21, 2020"
Pax Dollar,$1.00,/currencies/paxos-standard/,"$942,881,832.35","945,642,940 USDP","945,642,940 USDP",No Data,$2.02,"Nov 16, 2021",$0.8728,"Mar 13, 2020"
Holo,$0.01,/currencies/holo/,"$943,400,211.23","173,174,228,547 HOT","177,619,433,541 HOT",No Data,$0.03157,"Apr 05, 2021",$0.0002189,"Mar 13, 2020"
Decred,$69.42,/currencies/decred/,"$955,271,248.14","13,755,620 DCR","13,755,620 DCR","21,000,000 DCR",$250.02,"Apr 17, 2021",$0.3948,"Dec 28, 2016"
BORA,$1.12,/currencies/bora/,"$964,244,909.61","861,250,000 BORA","1,205,750,000 BORA",No Data,$1.66,"Nov 25, 2021",$0.00621,"Jan 18, 2020"
